"Town","FIPS","Year","Gender","Measure Type","Variable","Value"
"Andover","0901301080","2014-2018","Male","Number","Margins of Error",50
"Andover","0901301080","2014-2018","Male","Percent","Employed or Enrolled Youth",100
"Andover","0901301080","2014-2018","Male","Percent","Margins of Error",97.5
"Ansonia","0900901220","2006-2010","Total","Number","Employed or Enrolled Youth",980
"Ansonia","0900901220","2006-2010","Total","Number","Margins of Error",245
"Ansonia","0900901220","2006-2010","Total","Percent","Employed or Enrolled Youth",98
"Ansonia","0900901220","2006-2010","Total","Percent","Margins of Error",36.07
"Ansonia","0900901220","2006-2010","Female","Number","Employed or Enrolled Youth",537
"Ansonia","0900901220","2006-2010","Female","Number","Margins of Error",192
"Ansonia","0900901220","2006-2010","Female","Percent","Employed or Enrolled Youth",97.11
"Ansonia","0900901220","2006-2010","Female","Percent","Margins of Error",48.83
"Ansonia","0900901220","2006-2010","Male","Number","Employed or Enrolled Youth",443
"Ansonia","0900901220","2006-2010","Male","Number","Margins of Error",152
"Ansonia","0900901220","2006-2010","Male","Percent","Employed or Enrolled Youth",99.11
"Ansonia","0900901220","2006-2010","Male","Percent","Margins of Error",48.77
"Ansonia","0900901220","2007-2011","Total","Number","Employed or Enrolled Youth",930
"Ansonia","0900901220","2007-2011","Total","Number","Margins of Error",273
"Ansonia","0900901220","2007-2011","Total","Percent","Employed or Enrolled Youth",97.59
"Ansonia","0900901220","2007-2011","Total","Percent","Margins of Error",37.75
"Ansonia","0900901220","2007-2011","Female","Number","Employed or Enrolled Youth",550
"Ansonia","0900901220","2007-2011","Female","Number","Margins of Error",233
"Ansonia","0900901220","2007-2011","Female","Percent","Employed or Enrolled Youth",97.86
"Ansonia","0900901220","2007-2011","Female","Percent","Margins of Error",56.64
"Ansonia","0900901220","2007-2011","Male","Number","Employed or Enrolled Youth",380
"Ansonia","0900901220","2007-2011","Male","Number","Margins of Error",143
"Ansonia","0900901220","2007-2011","Male","Percent","Employed or Enrolled Youth",97.19
"Ansonia","0900901220","2007-2011","Male","Percent","Margins of Error",52.04
"Ansonia","0900901220","2008-2012","Total","Number","Employed or Enrolled Youth",985
"Ansonia","0900901220","2008-2012","Total","Number","Margins of Error",301
"Ansonia","0900901220","2008-2012","Total","Percent","Employed or Enrolled Youth",98.21
"Ansonia","0900901220","2008-2012","Total","Percent","Margins of Error",41.25
"Ansonia","0900901220","2008-2012","Female","Number","Employed or Enrolled Youth",549
"Ansonia","0900901220","2008-2012","Female","Number","Margins of Error",245
"Ansonia","0900901220","2008-2012","Female","Percent","Employed or Enrolled Youth",97.69
"Ansonia","0900901220","2008-2012","Female","Percent","Margins of Error",59.36
"Ansonia","0900901220","2008-2012","Male","Number","Employed or Enrolled Youth",436
"Ansonia","0900901220","2008-2012","Male","Number","Margins of Error",175
"Ansonia","0900901220","2008-2012","Male","Percent","Employed or Enrolled Youth",98.87
"Ansonia","0900901220","2008-2012","Male","Percent","Margins of Error",55.82
"Ansonia","0900901220","2009-2013","Total","Number","Employed or Enrolled Youth",850
"Ansonia","0900901220","2009-2013","Total","Number","Margins of Error",227
"Ansonia","0900901220","2009-2013","Total","Percent","Employed or Enrolled Youth",97.7
"Ansonia","0900901220","2009-2013","Total","Percent","Margins of Error",33.11
"Ansonia","0900901220","2009-2013","Female","Number","Employed or Enrolled Youth",384
"Ansonia","0900901220","2009-2013","Female","Number","Margins of Error",137
